iter	Passed	Remaining
0	1	1718
1	3	1663
2	5	1728
3	6	1703
4	8	1688
5	10	1800
6	12	1748
7	13	1718
8	15	1674
9	16	1654
10	18	1655
11	19	1640
12	21	1618
13	22	1618
14	24	1627
15	26	1656
16	29	1694
17	30	1689
18	32	1681
19	34	1686
20	35	1678
21	37	1669
22	38	1655
23	40	1654
24	42	1676
25	44	1674
26	46	1661
27	47	1650
28	49	1646
29	50	1639
30	52	1629
31	53	1622
32	55	1615
33	56	1616
34	58	1612
35	60	1608
36	61	1597
37	62	1587
38	64	1578
39	65	1573
40	66	1563
41	68	1555
42	69	1547
43	70	1540
44	72	1532
45	74	1535
46	75	1530
47	76	1525
48	78	1517
49	79	1509
50	80	1503
51	82	1497
52	83	1494
53	84	1487
54	86	1485
55	87	1481
56	89	1477
57	91	1478
58	92	1475
59	93	1471
60	95	1467
61	96	1466
62	98	1462
63	99	1462
64	101	1460
65	103	1462
66	105	1475
67	108	1487
68	110	1488
69	111	1485
70	113	1484
71	114	1480
72	116	1476
73	117	1472
74	119	1468
75	121	1481
76	123	1485
77	125	1480
78	126	1476
79	127	1469
80	129	1464
81	130	1459
82	131	1457
83	133	1453
84	134	1448
85	135	1444
86	137	1446
87	139	1445
88	140	1440
89	142	1436
90	143	1430
91	144	1428
92	146	1425
93	147	1421
94	148	1417
95	150	1414
96	151	1411
97	153	1415
98	156	1419
99	157	1415
100	158	1410
101	159	1407
102	161	1405
103	162	1403
104	164	1400
105	165	1397
106	167	1394
107	168	1392
108	170	1391
109	171	1389
110	172	1385
111	174	1382
112	176	1381
113	177	1379
114	178	1377
115	180	1373
116	181	1370
117	182	1366
118	184	1364
119	186	1368
120	188	1366
121	189	1362
122	190	1361
123	192	1360
124	194	1358
125	195	1356
126	196	1352
127	198	1350
128	199	1348
129	201	1346
130	203	1347
131	204	1345
132	206	1343
133	207	1341
134	209	1340
135	210	1337
136	212	1335
137	213	1333
138	214	1330
139	216	1327
140	217	1327
141	220	1332
142	222	1330
143	223	1330
144	225	1327
145	226	1327
146	228	1327
147	230	1324
148	231	1321
149	233	1321
150	234	1320
151	236	1319
152	237	1317
153	239	1313
154	240	1311
155	241	1309
156	243	1307
157	244	1305
158	246	1306
159	248	1306
160	250	1306
161	251	1303
162	253	1300
163	254	1297
164	256	1296
165	257	1295
166	259	1292
167	260	1289
168	261	1287
169	263	1285
170	265	1286
171	267	1286
172	268	1285
173	270	1283
174	271	1282
175	273	1282
176	275	1281
177	277	1280
178	281	1289
179	283	1290
180	286	1294
181	288	1295
182	289	1294
183	291	1293
184	294	1298
185	296	1297
186	298	1297
187	300	1298
188	302	1296
189	304	1296
190	305	1294
191	306	1291
192	308	1289
193	310	1289
194	312	1289
195	313	1288
196	315	1286
197	317	1284
198	318	1281
199	319	1278
200	320	1275
201	322	1272
202	323	1270
203	325	1269
204	326	1267
205	328	1265
206	329	1263
207	331	1261
208	332	1259
209	334	1256
210	335	1254
211	336	1252
212	338	1251
213	340	1249
214	341	1248
215	343	1246
216	344	1244
217	346	1242
218	347	1239
219	349	1237
220	350	1236
221	351	1233
222	353	1231
223	354	1228
224	356	1226
225	358	1226
226	359	1223
227	360	1221
228	362	1218
229	363	1217
230	365	1215
231	366	1213
232	367	1211
233	369	1209
234	370	1207
235	372	1204
236	374	1204
237	375	1202
238	376	1200
239	378	1198
240	380	1197
241	381	1195
242	383	1193
243	384	1191
244	386	1190
245	387	1187
246	389	1188
247	392	1190
248	394	1190
249	396	1188
250	397	1186
251	399	1184
252	400	1182
253	402	1181
254	404	1181
255	407	1182
256	408	1181
257	410	1181
258	413	1181
259	415	1182
260	417	1181
261	418	1179
262	421	1180
263	422	1179
264	424	1177
265	425	1175
266	427	1173
267	428	1171
268	430	1168
269	431	1167
270	432	1164
271	434	1162
272	436	1161
273	437	1159
274	438	1157
275	440	1154
276	441	1152
277	443	1150
278	444	1148
279	446	1147
280	447	1144
281	448	1142
282	450	1140
283	452	1139
284	453	1138
285	455	1137
28286	460	11428287	462	11428288	464	11428289	465	11429290	467	113291	465	1129
292	467	1129
293	469	1128
294	471	1127
295	473	1126
296	475	1125
29297	480	11329298	482	11329299	484	11330300	486	11330301	488	112302	487	1121
303	489	1120
304	491	1119
305	493	1118
306	495	1117
307	496	1115
308	498	1115
309	500	1115
310	502	1112
311	503	1111
312	505	1109
313	507	1108
314	508	1105
315	510	1104
316	511	1102
317	513	1100
318	515	1099
319	517	1098
32320	521	11032321	523	11032322	525	110323	525	1095
324	526	1094
325	528	1092
326	530	1090
327	531	1089
328	533	1087
329	534	1085
330	535	1083
331	537	1081
332	539	1080
333	541	1079
334	543	1078
335	544	1076
336	547	1076
337	549	1076
338	551	1075
339	553	1074
340	555	1073
341	556	1071
342	558	1069
343	559	1067
344	561	1065
34345	566	10734346	567	10634347	569	10634348	570	10634349	571	10635350	573	10535351	574	10535352	575	10535353	577	10535354	578	10535355	580	10435356	581	10435357	583	10435358	584	10435359	585	10436360	587	10336361	588	10336362	589	10336363	591	10336364	592	10336365	593	10236366	595	10236367	597	10236368	600	10236369	601	10237370	602	10237371	604	10237372	605	10137373	607	10137374	608	10137375	610	10137376	612	10137377	614	10137378	616	10037379	617	10038380	619	10038381	620	10382382	622	1383	383	623	384	6384	625385	6385	627386	6386	629387	6387	631388	6388	633389	6389	635390	6390	637391	6391	639392	6392	640393	6393	642394	6394	644395	6395	645396	6396	647397	6397	648398	6398	649399	6399	651400	6400	652401	6401	654402	6402	655403	6403	656404	6404	658405	6405	660406	6406	661407	6407	662408	6408	664409	6409	665410	6410	667411	6411	668412	6412	670413	6413	672414	6414	673415	6415	676416	6416	678417	6417	680418	6418	681419	6419	683420	6420	685421	6421	687422	6422	688423	6423	693424	6424	695425	6425	696426	6426	698427	6427	700428	6428	701429	6429	703430	6430	705431	701	922
432	703	920
433	704	919
434	706	918
435	7435	714436	7436	716437	7437	717438	7438	719439	7439	720440	7440	722441	7441	724442	7442	726443	7443	728444	7444	730445	7445	732446	7446	734447	7447	735448	7448	737449	7449	739450	7450	742451	7451	744452	7452	746453	7453	747454	743	890
455	744	888
456	746	886
457	7457	754458	750	884
459	7459	757460	7460	759461	7461	761462	7462	763463	7463	764464	7464	766465	7465	768466	7466	771	880
467	773468	7468	775	877
469	777	876
470	778471	778	870
472	781	870
473	783	869
474	785	868
475	787	867
476	790	866
477	791	864
478	793	863
479	795	861
480	797	861
481	799	859
482	801	858
483	803	856
484	804	854
485	806	852
486	808	851
487	809	849
488	810	847
489	812	845
490	814	844
491	816	842
492	818	841
493	820	840
494	822	838
495	823	837
496	825	835
497	826	833
498	828	832
499	830	830
500	831	828
501	833	826
502	834	825
503	836	823
504	837	821
505	839	819
506	840	817
507	842	815
508	843	813
509	845	811
510	846	810
511	848	808
512	849	806
513	851	805
514	853	803
515	854	801
516	856	800
517	858	798
518	860	797
519	862	796
520	864	794
521	865	792
522	8522	872523	869	789
524	870	787
525	871	785
526	873	783
527	874	782
528	8528	882529	8529	883530	8530	885531	8531	886532	8532	888533	8533	889534	8534	890535	8535	892536	8536	893537	8537	895538	8538	896539	8539	898540	8540	899541	8541	900542	8542	902543	8543	903544	8544	905545	9545	906546	9546	907547	9547	909548	9548	910549	9549	911550	9550	913551	9551	915552	9552	916553	9553	918554	9554	919555	9555	921556	9556	922557	9557	924558	9558	926559	9559	927560	9560	930561	9561	931562	9562	933563	9563	935564	9564	937565	9565	939566	9566	940567	9567	942568	9568	944569	9569	946570	9570	947571	9571	949572	9572	951573	9573	953574	9574	954575	9575	956576	9576	958577	9577	961578	9578	963579	9579	965580	9580	967581	9581	968582	9582	970583	9583	972584	9584	974585	9585	976	689
586	979	688
587	981	687
588	983	686
589	985590	9590	987591	9591	988592	9592	990593	9593	992594	9594	994595	9595	996596	9596	998597	9597	999598	9598	100599	99599	10600	998600	1601	999	601	602	1002	659
603	1004	658
604	1005	656
605	1006	654
606	1008	652
607	1010	651
608	1011	608	609	1013	609	610	1014	610	611	1016	611	612	1017	612	613	1019	613	614	1020	614	615	1021	615	616	1023	616	617	1024	617	618	1025	618	619	1027	619	620	1028	620	621	1029	621	622	1031	622	623	1033	623	624	1035	624	625	1036	625	626	1038	626	627	1039	615
628	1040	613
629	1042	612
630	1044	610
631	1045	609
632	1047	607
633	1049	605
634	1050	604
635	1052	602
636	1054	600
637	1056	599
