Index,Red1,Red2,Red3,Red4,Red5,Red6,Blue,Price
24054,8,13,20,25,31,32,3,2201149174
24053,7,14,21,22,28,33,7,2170866334
24052,7,10,11,15,17,21,3,2202835275
24051,5,9,13,20,23,28,6,2178038182
24050,1,3,7,10,22,33,2,2207601984
24049,12,15,17,23,26,32,11,2211638785
24048,2,9,15,19,26,28,2,2179284324
24047,7,8,21,26,29,30,15,2162261379
24046,2,6,10,11,17,29,15,2226410188
24045,2,8,19,23,24,26,3,2197753504
24044,2,6,17,25,32,33,6,2217466686
24043,4,6,7,14,15,24,8,2195139699
24042,2,4,5,14,26,32,14,2209117678
24041,2,9,12,22,25,33,16,2126335214
24040,11,14,18,19,23,26,2,2403776297
24039,2,6,12,29,30,31,10,2381952370
24038,8,10,18,23,27,31,2,2387854012
24037,1,4,5,6,12,14,13,2327021985
24036,2,8,9,12,21,31,2,2277496852
24035,5,7,14,17,22,32,6,2285864323
24034,2,9,12,19,21,31,4,2343160918
24033,6,10,11,18,20,32,5,2373391338
24032,1,3,4,11,12,21,16,2337606504
24031,9,10,13,25,30,32,2,2337825170
24030,1,8,22,25,29,33,10,2432825172
24029,12,18,23,25,28,33,4,2369816985
24028,3,7,8,11,18,19,5,2284805181
24027,2,6,13,27,28,32,13,2297410268
24026,4,7,18,19,20,25,6,2274290656
24025,8,15,21,22,25,33,13,2283708260
24024,3,7,21,24,26,30,10,2259827583
24023,1,10,22,25,28,32,10,2249424817
24022,2,9,11,14,18,26,6,2211765504
24021,4,6,16,17,23,24,11,2303552638
24020,3,8,12,14,17,33,8,2292837056
24019,5,11,12,16,17,20,8,2240147827
24018,6,15,17,24,28,29,16,2255582139
24017,4,17,19,20,25,32,4,2249152255
24016,7,12,20,24,32,33,4,2182164460
24015,3,8,17,18,20,30,15,279974069
24014,1,2,10,22,24,25,13,277115827
24013,1,7,10,14,21,25,7,2740765858
24012,1,3,7,18,22,28,15,276538231
24011,8,12,16,20,27,31,6,272959079
24010,11,16,20,21,23,24,4,277312233
24009,1,4,7,10,17,23,14,2725560627
24008,8,20,21,23,27,30,13,268026083
24007,4,5,6,7,20,22,15,264421978
24006,7,18,20,21,26,32,5,260662446
24005,5,6,20,23,25,32,3,259310461
24004,9,13,17,18,21,27,4,254393451
24003,1,5,8,13,32,33,3,2538504530
24002,4,9,10,17,19,20,9,254078516
24001,3,7,16,26,27,32,16,265324173
23151,1,15,16,20,25,27,5,2626575547
23150,10,17,25,26,30,33,5,259936699
23149,2,10,19,24,26,33,15,2575173968
23148,3,5,7,9,19,20,8,252759937
23147,5,6,14,16,19,32,12,26781440
23146,2,3,6,11,20,32,9,266172578
23145,7,10,21,22,23,24,11,265800935
23144,12,16,17,22,25,27,8,262478277
23143,5,7,9,16,23,30,15,2625542196
23142,2,8,20,21,27,33,14,2715709193
23141,1,8,11,12,21,23,3,2628135529
23140,3,4,11,14,30,31,5,2606606136
23139,12,14,19,21,27,31,11,259951387
23138,3,22,28,30,31,33,4,254865210
23137,3,12,17,19,23,27,11,246777508
23136,3,5,10,21,22,26,10,2438516168
23135,5,6,11,13,28,30,7,248154233
23134,5,8,9,17,22,33,4,2554169624
23133,4,5,10,14,22,25,3,2625290582
23132,3,9,11,15,25,27,1,263957795
23131,6,7,14,20,26,32,1,269128720
23130,4,10,17,22,23,32,16,2644338946
23129,8,9,12,17,32,33,4,255385902
23128,7,16,20,21,27,33,1,250334670
23127,3,8,19,22,26,32,14,2483723142
23126,10,24,26,28,29,31,16,248111082
23125,11,14,15,27,30,33,4,2449910182
23124,2,3,17,18,25,30,11,240087264
23123,10,13,15,22,29,32,15,2392642136
23122,7,8,14,18,20,30,5,239623423
23121,2,12,16,25,30,31,12,239446262
23120,3,8,13,24,27,29,8,237274260
23119,1,2,3,19,21,28,15,240411262
23118,1,2,11,19,25,29,4,23546565
23117,2,11,14,17,18,28,8,234466896
23116,2,8,9,13,24,27,12,235830268
23115,2,7,16,21,26,27,16,2367018008
23114,7,9,15,16,17,26,9,237177951
23113,1,2,13,18,25,27,3,237427909
23112,9,12,13,22,24,31,4,2367099281
